,Unnamed: 0,totalpop,poverty_White,poverty_Black,poverty_AmerInd,poverty_Asian,poverty_NatHaw,poverty_Multi,poverty_Hisp,Name,Country,state,CountyName,StateName,white_rate,black_rate,amerind_rate,asian_rate,nathaw_rate,multi_rate,hisp_rate
0,0,9974203.0,852711.0,196990.0,12335.0,173556.0,3764.0,58196.0,1126170.0,"Los Angeles County, California",37,6,Los Angeles County, California,8.549164279090771,1.9749948943289,0.12366902899409607,1.7400488038994193,0.03773735104448947,0.5834651650863734,11.2908269462733
1,1,152452.0,28174.0,1412.0,460.0,417.0,6.0,879.0,23490.0,"Madera County, California",39,6,Madera County, California,18.48057093380212,0.9261931624380132,0.3017343163749901,0.2735287172355889,0.003935664996195524,0.5765749219426441,15.408128460105473
2,2,256802.0,13338.0,1471.0,205.0,1443.0,33.0,1191.0,8138.0,"Marin County, California",41,6,Marin County, California,5.193884782828794,0.5728148534668733,0.07982803872243985,0.5619115115925889,0.012850367208978123,0.4637814347240287,3.1689784347473933
3,3,17946.0,2394.0,34.0,191.0,23.0,0.0,49.0,556.0,"Mariposa County, California",43,6,Mariposa County, California,13.34002006018054,0.1894572606709016,1.064304023180653,0.12816226457149227,0.0,0.27304134626100524,3.0981834392065086
4,4,87612.0,13023.0,199.0,1269.0,325.0,43.0,751.0,5829.0,"Mendocino County, California",45,6,Mendocino County, California,14.864402136693602,0.2271378349997717,1.4484317216819615,0.3709537506277679,0.04908003469844313,0.8571885129890883,6.653198192028491
5,5,261609.0,39303.0,2714.0,630.0,4756.0,11.0,3027.0,43589.0,"Merced County, California",47,6,Merced County, California,15.023565703014805,1.0374260824360018,0.2408174030709953,1.8179802682629418,0.004204748307588806,1.1570702842792109,16.66188854358986
6,6,9335.0,1547.0,46.0,110.0,7.0,0.0,143.0,454.0,"Modoc County, California",49,6,Modoc County, California,16.572040707016605,0.4927691483663632,1.1783610069630424,0.07498660953401179,0.0,1.531869309051955,4.863417246920194
7,7,14193.0,347.0,27.0,85.0,0.0,0.0,5.0,296.0,"Mono County, California",51,6,Mono County, California,2.4448671880504467,0.19023462270133165,0.5988867751708589,0.0,0.0,0.03522863383357993,2.0855351229479324
8,8,424927.0,54340.0,1694.0,1506.0,2516.0,133.0,1722.0,53561.0,"Monterey County, California",53,6,Monterey County, California,12.788078893551129,0.3986567104467356,0.3544138169615016,0.5921017021747266,0.031299493795404865,0.4052460775615576,12.604753287035185
9,9,139253.0,10723.0,446.0,88.0,541.0,35.0,627.0,6633.0,"Napa County, California",55,6,Napa County, California,7.700372702922019,0.3202803530265057,0.06319432974514014,0.3885015044559184,0.025134108421362558,0.4502595994341235,4.763272604539939
10,10,98606.0,11121.0,76.0,92.0,153.0,7.0,323.0,1694.0,"Nevada County, California",57,6,Nevada County, California,11.278218363994078,0.07707441737825285,0.0933006105105166,0.15516297182727218,0.007098959495365394,0.3275662738575746,1.7179481978784252
11,11,3086331.0,208177.0,7432.0,2214.0,69756.0,945.0,13860.0,211433.0,"Orange County, California",59,6,Orange County, California,6.745128762922708,0.2408037245519032,0.07173566283072036,2.260159393143509,0.030618880476526982,0.4490769136557291,6.8506261966069095
12,12,361518.0,24821.0,1141.0,284.0,1259.0,62.0,2291.0,7860.0,"Placer County, California",61,6,Placer County, California,6.865771552177208,0.3156136070679745,0.07855763751735736,0.3482537522336371,0.0171499067819583,0.6337167167333301,2.1741656017127777
13,13,19286.0,2564.0,43.0,238.0,47.0,0.0,57.0,272.0,"Plumas County, California",63,6,Plumas County, California,13.294617857513222,0.22295965985689103,1.234055791766048,0.2437000933319506,0.0,0.2955511770195997,1.4103494763040547
