,totalpop,whitetot,blacktot,amerindtot,asiantot,nathawtot,multitot,hisptot,Name,Country,state,CountyName,StateName,whiteperc,blackperc,amerindperc,asianperc,nathawperc,multiperc,hispperc
0,9974203.0,5329333.0,832253.0,54409.0,1394349.0,26074.0,387845.0,4800491.0,"Los Angeles County, California",037,06,Los Angeles County, California,53.43116637991025,8.344055159093914,0.5454972191763091,13.979553053010852,0.2614143706519709,3.8884811147316736,48.12906855815948
1,152452.0,125830.0,5382.0,2287.0,3335.0,254.0,5110.0,84009.0,"Madera County, California",039,06,Madera County, California,82.53745441188046,3.530291501587385,1.5001443077165273,2.1875737937186788,0.16660981817227719,3.351874688426521,55.10521344423162
2,256802.0,203975.0,6913.0,674.0,14565.0,593.0,10418.0,40414.0,"Marin County, California",041,06,Marin County, California,79.42889852882765,2.6919572277474475,0.2624590151167047,5.671684799962618,0.23091720469466748,4.0568219873677,15.737416375261876
3,17946.0,15850.0,155.0,598.0,232.0,74.0,638.0,1729.0,"Mariposa County, California",043,06,Mariposa County, California,88.32051710687618,0.8637022177644043,3.3322188788587987,1.2927671904602696,0.41234815557784466,3.555109773765742,9.634458932352613
4,87612.0,72141.0,705.0,4169.0,1570.0,186.0,3305.0,20332.0,"Mendocino County, California",045,06,Mendocino County, California,82.34146007396247,0.8046842898233119,4.758480573437429,1.7919919645710634,0.212299684974661,3.7723142948454553,23.20686663927316
5,261609.0,168794.0,9115.0,2024.0,19842.0,572.0,10313.0,147270.0,"Merced County, California",047,06,Merced County, California,64.52148053010409,3.4842073476065423,0.7736736885963403,7.584601447197918,0.21864691199461792,3.9421426632875782,56.293934841691225
6,9335.0,8396.0,108.0,236.0,52.0,0.0,412.0,1345.0,"Modoc County, California",049,06,Modoc County, California,89.94108194965185,1.156936261381896,2.5281199785752544,0.5570433851098018,0.0,4.413497589716122,14.408141403320835
7,14193.0,11993.0,63.0,380.0,116.0,132.0,239.0,3843.0,"Mono County, California",051,06,Mono County, California,84.49940111322482,0.4438807863031071,2.677376171352075,0.8173043049390545,0.9300359332065102,1.6839286972451208,27.07672796448954
8,424927.0,319839.0,11826.0,4161.0,26497.0,2183.0,15603.0,239901.0,"Monterey County, California",053,06,Monterey County, California,75.26916387991349,2.7830662678530667,0.9792270201705234,6.235659301480019,0.5137353004163068,3.6719248247346012,56.4569914361761
9,139253.0,107543.0,2992.0,696.0,10362.0,356.0,4950.0,45937.0,"Napa County, California",055,06,Napa County, California,77.22849777024553,2.148607211334765,0.4998096988933811,7.441132327490251,0.25564978851443054,3.554681048164133,32.98815824434662
10,98606.0,91335.0,358.0,978.0,1476.0,165.0,2662.0,8751.0,"Nevada County, California",057,06,Nevada County, California,92.62620935845689,0.3630610713344016,0.9918260552096221,1.4968663164513316,0.16733261667646998,2.6996328823803823,8.874713506277509
11,3086331.0,1942675.0,50766.0,11852.0,573661.0,9472.0,110900.0,1050771.0,"Orange County, California",059,06,Orange County, California,62.94448003146778,1.6448656997580622,0.3840158427595744,18.587150892111055,0.3069016252631361,3.593263327880256,34.04595942560924
12,361518.0,303509.0,4652.0,2372.0,23317.0,701.0,16214.0,47800.0,"Placer County, California",061,06,Placer County, California,83.95404931428034,1.2867962314462904,0.6561222401097594,6.449748007014865,0.19390459119601236,4.4849772348818036,13.222024906090429
13,19286.0,17273.0,135.0,533.0,198.0,160.0,748.0,1594.0,"Plumas County, California",063,06,Plumas County, California,89.56237685367624,0.6999896297832625,2.7636627605516955,1.0266514570154517,0.8296173390023852,3.8784610598361504,8.265062739811261
14,2266899.0,1480532.0,141350.0,22045.0,138538.0,7152.0,97350.0,1055027.0,"Riverside County, California",065,06,Riverside County, California,65.31089386867258,6.235390284260569,0.9724738508420533,6.11134417545731,0.3154970733146911,4.2944127638681735,46.540538418341534
15,1450277.0,865905.0,146236.0,12376.0,214861.0,14533.0,94430.0,319934.0,"Sacramento County, California",067,06,Sacramento County, California,59.70618026763164,10.083315118422204,0.853354221297035,14.81516979170186,1.0020844293883169,6.511169935122739,22.06019953429586
16,56888.0,48133.0,574.0,413.0,1205.0,84.0,2270.0,32657.0,"San Benito County, California",069,06,San Benito County, California,84.61011109548586,1.0090001406271971,0.7259879060610321,2.1181971593306144,0.1476585571649557,3.990296723386303,57.40577977780903
17,2078586.0,1306230.0,180267.0,18520.0,136494.0,7172.0,90872.0,1050173.0,"San Bernardino County, California",071,06,San Bernardino County, California,62.84223986883391,8.672578377801063,0.8909903174561938,6.566675615057544,0.34504225468659944,4.371818149453523,50.52343275669132
18,3183143.0,2259494.0,160316.0,21329.0,357998.0,14343.0,154398.0,1039752.0,"San Diego County, California",073,06,San Diego County, California,70.98311323116806,5.036405841647705,0.6700610057418093,11.246682916852935,0.45059238620445263,4.850488966408358,32.66431951062205
19,829072.0,410245.0,47611.0,3124.0,278274.0,3566.0,36712.0,126524.0,"San Francisco County, California",075,06,San Francisco County, California,49.482433371287414,5.74268579809715,0.37680683945423316,33.56451550649401,0.4301194588648513,4.428083447517224,15.260918231468438
20,701050.0,405458.0,50377.0,6034.0,102469.0,3980.0,52251.0,278523.0,"San Joaquin County, California",077,06,San Joaquin County, California,57.8358177020184,7.185935382640325,0.8607089365951073,14.616503815705014,0.5677198487982312,7.4532486983810005,39.72940589116325
21,274184.0,231961.0,5791.0,2045.0,10205.0,85.0,8937.0,58889.0,"San Luis Obispo County, California",079,06,San Luis Obispo County, California,84.60048726402708,2.1120853149709684,0.7458495025238525,3.721953140956438,0.031001079567006096,3.259489977533335,21.477912642604966
