,poverty_White,poverty_Black,poverty_AmerInd,poverty_Asian,poverty_NatHaw,poverty_Multi,poverty_Hisp,Name,Country,state,CountyName,StateName
55,4406.0,11.0,47.0,75.0,0.0,80.0,1097.0,"Delta County, Colorado",029,08,Delta , Colorado
56,70438.0,19052.0,1885.0,3672.0,89.0,3973.0,54683.0,"Denver County, Colorado",031,08,Denver , Colorado
57,327.0,0.0,6.0,2.0,0.0,12.0,11.0,"Dolores County, Colorado",033,08,Dolores , Colorado
58,10061.0,156.0,82.0,740.0,0.0,915.0,1885.0,"Douglas County, Colorado",035,08,Douglas , Colorado
59,3920.0,61.0,0.0,22.0,0.0,61.0,3613.0,"Eagle County, Colorado",037,08,Eagle , Colorado
60,1537.0,32.0,5.0,0.0,0.0,111.0,168.0,"Elbert County, Colorado",039,08,Elbert , Colorado
61,54158.0,7620.0,640.0,1780.0,193.0,5610.0,22992.0,"El Paso County, Colorado",041,08,El Paso , Colorado
62,6032.0,10.0,48.0,1.0,0.0,159.0,614.0,"Fremont County, Colorado",043,08,Fremont , Colorado
63,5346.0,142.0,68.0,8.0,0.0,162.0,3033.0,"Garfield County, Colorado",045,08,Garfield , Colorado
64,496.0,0.0,0.0,0.0,0.0,43.0,30.0,"Gilpin County, Colorado",047,08,Gilpin , Colorado
65,1550.0,0.0,5.0,20.0,10.0,27.0,170.0,"Grand County, Colorado",049,08,Grand , Colorado
66,2486.0,0.0,0.0,10.0,0.0,74.0,519.0,"Gunnison County, Colorado",051,08,Gunnison , Colorado
67,61.0,0.0,0.0,0.0,0.0,4.0,0.0,"Hinsdale County, Colorado",053,08,Hinsdale , Colorado
68,777.0,0.0,47.0,8.0,0.0,238.0,630.0,"Huerfano County, Colorado",055,08,Huerfano , Colorado
69,121.0,0.0,0.0,5.0,0.0,2.0,84.0,"Jackson County, Colorado",057,08,Jackson , Colorado
70,41127.0,809.0,1577.0,954.0,38.0,1173.0,13452.0,"Jefferson County, Colorado",059,08,Jefferson , Colorado
71,187.0,0.0,1.0,0.0,0.0,15.0,7.0,"Kiowa County, Colorado",061,08,Kiowa , Colorado
72,1051.0,0.0,0.0,9.0,0.0,0.0,480.0,"Kit Carson County, Colorado",063,08,Kit Carson , Colorado
73,735.0,0.0,2.0,0.0,0.0,0.0,350.0,"Lake County, Colorado",065,08,Lake , Colorado
74,4698.0,25.0,412.0,30.0,0.0,193.0,734.0,"La Plata County, Colorado",067,08,La Plata , Colorado
75,35066.0,577.0,330.0,759.0,116.0,2224.0,7437.0,"Larimer County, Colorado",069,08,Larimer , Colorado
76,1944.0,15.0,131.0,0.0,0.0,98.0,1139.0,"Las Animas County, Colorado",071,08,Las Animas , Colorado
77,610.0,4.0,2.0,4.0,0.0,0.0,1.0,"Lincoln County, Colorado",073,08,Lincoln , Colorado
78,3507.0,5.0,65.0,0.0,0.0,45.0,1154.0,"Logan County, Colorado",075,08,Logan , Colorado
79,19961.0,297.0,274.0,140.0,69.0,835.0,5087.0,"Mesa County, Colorado",077,08,Mesa , Colorado
80,42.0,2.0,0.0,1.0,0.0,3.0,0.0,"Mineral County, Colorado",079,08,Mineral , Colorado
81,1182.0,6.0,160.0,15.0,0.0,51.0,420.0,"Moffat County, Colorado",081,08,Moffat , Colorado
82,3337.0,10.0,1113.0,9.0,0.0,57.0,984.0,"Montezuma County, Colorado",083,08,Montezuma , Colorado
83,5996.0,41.0,88.0,30.0,0.0,397.0,2196.0,"Montrose County, Colorado",085,08,Montrose , Colorado
84,2900.0,118.0,37.0,15.0,24.0,209.0,1613.0,"Morgan County, Colorado",087,08,Morgan , Colorado
85,3979.0,21.0,200.0,64.0,0.0,122.0,3017.0,"Otero County, Colorado",089,08,Otero , Colorado
86,289.0,0.0,12.0,0.0,0.0,33.0,41.0,"Ouray County, Colorado",091,08,Ouray , Colorado
87,1180.0,0.0,7.0,6.0,0.0,126.0,68.0,"Park County, Colorado",093,08,Park , Colorado
88,731.0,13.0,0.0,0.0,0.0,31.0,449.0,"Phillips County, Colorado",095,08,Phillips , Colorado
89,1427.0,85.0,1.0,0.0,2.0,0.0,438.0,"Pitkin County, Colorado",097,08,Pitkin , Colorado
90,2514.0,5.0,0.0,0.0,0.0,0.0,1494.0,"Prowers County, Colorado",099,08,Prowers , Colorado
91,19781.0,831.0,1270.0,217.0,44.0,1653.0,17773.0,"Pueblo County, Colorado",101,08,Pueblo , Colorado
92,986.0,12.0,49.0,36.0,0.0,2.0,268.0,"Rio Blanco County, Colorado",103,08,Rio Blanco , Colorado
93,1829.0,3.0,34.0,16.0,6.0,90.0,1063.0,"Rio Grande County, Colorado",105,08,Rio Grande , Colorado
94,2058.0,0.0,31.0,70.0,0.0,46.0,379.0,"Routt County, Colorado",107,08,Routt , Colorado
95,1169.0,3.0,9.0,29.0,0.0,71.0,837.0,"Saguache County, Colorado",109,08,Saguache , Colorado
96,108.0,0.0,0.0,0.0,0.0,0.0,30.0,"San Juan County, Colorado",111,08,San Juan , Colorado
97,772.0,0.0,0.0,15.0,0.0,0.0,92.0,"San Miguel County, Colorado",113,08,San Miguel , Colorado
98,315.0,0.0,0.0,1.0,0.0,30.0,68.0,"Sedgwick County, Colorado",115,08,Sedgwick , Colorado
99,2763.0,28.0,0.0,134.0,64.0,105.0,1097.0,"Summit County, Colorado",117,08,Summit , Colorado
100,1620.0,0.0,1.0,16.0,0.0,4.0,43.0,"Teller County, Colorado",119,08,Teller , Colorado
101,550.0,1.0,3.0,0.0,0.0,14.0,125.0,"Washington County, Colorado",121,08,Washington , Colorado
102,27705.0,1143.0,400.0,253.0,0.0,1041.0,15887.0,"Weld County, Colorado",123,08,Weld , Colorado
103,890.0,100.0,4.0,7.0,0.0,11.0,280.0,"Yuma County, Colorado",125,08,Yuma , Colorado
104,42965.0,19921.0,253.0,3177.0,0.0,3195.0,31834.0,"Fairfield County, Connecticut",001,09,Fairfield , Connecticut
105,54084.0,24335.0,572.0,3744.0,64.0,5751.0,43379.0,"Hartford County, Connecticut",003,09,Hartford , Connecticut
106,10813.0,428.0,49.0,247.0,0.0,373.0,1522.0,"Litchfield County, Connecticut",005,09,Litchfield , Connecticut
107,8277.0,1744.0,15.0,294.0,44.0,351.0,1398.0,"Middlesex County, Connecticut",007,09,Middlesex , Connecticut
108,57582.0,25181.0,501.0,3121.0,23.0,4268.0,38645.0,"New Haven County, Connecticut",009,09,New Haven , Connecticut
109,16571.0,2449.0,182.0,514.0,0.0,1919.0,5723.0,"New London County, Connecticut",011,09,New London , Connecticut
110,7388.0,467.0,0.0,710.0,0.0,231.0,684.0,"Tolland County, Connecticut",013,09,Tolland , Connecticut
111,10703.0,398.0,95.0,85.0,0.0,725.0,4214.0,"Windham County, Connecticut",015,09,Windham , Connecticut
112,11494.0,7381.0,182.0,491.0,0.0,1027.0,1864.0,"Kent County, Delaware",001,10,Kent , Delaware
113,29154.0,23056.0,253.0,1524.0,13.0,2298.0,11061.0,"New Castle County, Delaware",003,10,New Castle , Delaware
114,17425.0,6084.0,182.0,89.0,0.0,1032.0,5486.0,"Sussex County, Delaware",005,10,Sussex , Delaware
115,19628.0,79520.0,308.0,3323.0,9.0,1647.0,10402.0,"District of Columbia, District of Columbia",001,11,District of Columbia, District of Columbia
116,35272.0,17749.0,165.0,3753.0,67.0,2142.0,6791.0,"Alachua County, Florida",001,12,Alachua , Florida
117,3867.0,538.0,19.0,4.0,0.0,102.0,210.0,"Baker County, Florida",003,12,Baker , Florida
118,18593.0,3559.0,350.0,659.0,17.0,1663.0,1611.0,"Bay County, Florida",005,12,Bay , Florida
119,2940.0,1615.0,0.0,0.0,0.0,27.0,49.0,"Bradford County, Florida",007,12,Bradford , Florida
120,54483.0,15654.0,350.0,1681.0,0.0,2499.0,8939.0,"Brevard County, Florida",009,12,Brevard , Florida
121,130225.0,108791.0,805.0,6804.0,224.0,7282.0,68304.0,"Broward County, Florida",011,12,Broward , Florida
122,2487.0,217.0,53.0,0.0,0.0,46.0,328.0,"Calhoun County, Florida",013,12,Calhoun , Florida
123,17932.0,1471.0,115.0,95.0,0.0,585.0,2170.0,"Charlotte County, Florida",015,12,Charlotte , Florida
124,21486.0,1591.0,120.0,128.0,0.0,396.0,1765.0,"Citrus County, Florida",017,12,Citrus , Florida
125,15681.0,2837.0,32.0,606.0,0.0,920.0,1981.0,"Clay County, Florida",019,12,Clay , Florida
126,35219.0,6583.0,198.0,546.0,19.0,622.0,23368.0,"Collier County, Florida",021,12,Collier , Florida
127,8001.0,3851.0,24.0,0.0,0.0,409.0,736.0,"Columbia County, Florida",023,12,Columbia , Florida
128,7590.0,1993.0,17.0,15.0,0.0,207.0,4528.0,"DeSoto County, Florida",027,12,DeSoto , Florida
129,2377.0,304.0,20.0,9.0,0.0,81.0,11.0,"Dixie County, Florida",029,12,Dixie , Florida
130,65318.0,72851.0,368.0,4532.0,34.0,5092.0,14501.0,"Duval County, Florida",031,12,Duval , Florida
131,23774.0,19614.0,294.0,1079.0,114.0,3123.0,3147.0,"Escambia County, Florida",033,12,Escambia , Florida
132,10157.0,3615.0,0.0,657.0,0.0,481.0,2578.0,"Flagler County, Florida",035,12,Flagler , Florida
133,2029.0,194.0,0.0,0.0,0.0,6.0,73.0,"Franklin County, Florida",037,12,Franklin , Florida
134,2767.0,8327.0,7.0,0.0,0.0,155.0,1652.0,"Gadsden County, Florida",039,12,Gadsden , Florida
135,3697.0,166.0,26.0,0.0,0.0,26.0,328.0,"Gilchrist County, Florida",041,12,Gilchrist , Florida
136,1990.0,397.0,153.0,14.0,0.0,0.0,901.0,"Glades County, Florida",043,12,Glades , Florida
137,1830.0,261.0,18.0,93.0,0.0,11.0,128.0,"Gulf County, Florida",045,12,Gulf , Florida
138,1243.0,1558.0,17.0,0.0,0.0,173.0,255.0,"Hamilton County, Florida",047,12,Hamilton , Florida
139,6011.0,543.0,10.0,231.0,0.0,212.0,4273.0,"Hardee County, Florida",049,12,Hardee , Florida
140,5705.0,1708.0,345.0,58.0,39.0,250.0,5752.0,"Hendry County, Florida",051,12,Hendry , Florida
141,22084.0,3560.0,140.0,288.0,32.0,574.0,3840.0,"Hernando County, Florida",053,12,Hernando , Florida
142,13981.0,2696.0,98.0,297.0,9.0,353.0,6749.0,"Highlands County, Florida",055,12,Highlands , Florida
143,128753.0,57484.0,1897.0,4913.0,171.0,6700.0,81652.0,"Hillsborough County, Florida",057,12,Hillsborough , Florida
144,4272.0,207.0,13.0,13.0,22.0,68.0,223.0,"Holmes County, Florida",059,12,Holmes , Florida
145,15817.0,3880.0,98.0,88.0,0.0,631.0,4591.0,"Indian River County, Florida",061,12,Indian River , Florida
146,5075.0,3130.0,46.0,68.0,0.0,221.0,635.0,"Jackson County, Florida",063,12,Jackson , Florida
147,740.0,1180.0,0.0,0.0,0.0,0.0,74.0,"Jefferson County, Florida",065,12,Jefferson , Florida
148,1199.0,377.0,0.0,0.0,0.0,11.0,384.0,"Lafayette County, Florida",067,12,Lafayette , Florida
149,33162.0,6714.0,78.0,469.0,109.0,1069.0,8364.0,"Lake County, Florida",069,12,Lake , Florida
150,74212.0,16456.0,939.0,1248.0,45.0,2155.0,36857.0,"Lee County, Florida",071,12,Lee , Florida
151,30124.0,29538.0,217.0,1690.0,0.0,1328.0,4648.0,"Leon County, Florida",073,12,Leon , Florida
152,7827.0,1109.0,15.0,100.0,0.0,339.0,873.0,"Levy County, Florida",075,12,Levy , Florida
153,922.0,273.0,72.0,0.0,0.0,59.0,118.0,"Liberty County, Florida",077,12,Liberty , Florida
154,1665.0,1995.0,0.0,0.0,0.0,52.0,45.0,"Madison County, Florida",079,12,Madison , Florida
155,34516.0,8727.0,134.0,581.0,66.0,1084.0,16277.0,"Manatee County, Florida",081,12,Manatee , Florida
156,42387.0,12223.0,581.0,210.0,7.0,1776.0,12178.0,"Marion County, Florida",083,12,Marion , Florida
157,12436.0,2168.0,5.0,221.0,0.0,383.0,6152.0,"Martin County, Florida",085,12,Martin , Florida
158,352369.0,143244.0,980.0,6083.0,113.0,6294.0,339384.0,"Miami-Dade County, Florida",086,12,Miami-Dade , Florida
159,8623.0,884.0,138.0,91.0,0.0,203.0,3185.0,"Monroe County, Florida",087,12,Monroe , Florida
160,8025.0,912.0,95.0,18.0,0.0,114.0,393.0,"Nassau County, Florida",089,12,Nassau , Florida
161,17232.0,3830.0,26.0,747.0,2.0,1917.0,3308.0,"Okaloosa County, Florida",091,12,Okaloosa , Florida
162,7703.0,1340.0,81.0,28.0,0.0,59.0,3982.0,"Okeechobee County, Florida",093,12,Okeechobee , Florida
163,108558.0,64609.0,860.0,8894.0,170.0,7010.0,77737.0,"Orange County, Florida",095,12,Orange , Florida
164,37013.0,6758.0,270.0,734.0,160.0,2953.0,31937.0,"Osceola County, Florida",097,12,Osceola , Florida
165,116228.0,63540.0,703.0,3772.0,144.0,5584.0,56953.0,"Palm Beach County, Florida",099,12,Palm Beach , Florida
166,57007.0,4626.0,275.0,930.0,14.0,2495.0,11085.0,"Pasco County, Florida",101,12,Pasco , Florida
167,90394.0,29277.0,437.0,3630.0,121.0,4154.0,17268.0,"Pinellas County, Florida",103,12,Pinellas , Florida
168,75903.0,26447.0,310.0,1643.0,9.0,3525.0,30611.0,"Polk County, Florida",105,12,Polk , Florida
169,12626.0,4933.0,110.0,45.0,21.0,453.0,2848.0,"Putnam County, Florida",107,12,Putnam , Florida
170,16172.0,2501.0,35.0,186.0,15.0,510.0,955.0,"St. Johns County, Florida",109,12,St. Johns , Florida
171,29564.0,16390.0,207.0,1003.0,0.0,1859.0,14033.0,"St. Lucie County, Florida",111,12,St. Lucie , Florida
172,15145.0,1468.0,226.0,195.0,135.0,1267.0,1351.0,"Santa Rosa County, Florida",113,12,Santa Rosa , Florida
173,34870.0,6736.0,230.0,918.0,30.0,1468.0,7048.0,"Sarasota County, Florida",115,12,Sarasota , Florida
174,33976.0,11261.0,150.0,1370.0,46.0,1303.0,12380.0,"Seminole County, Florida",117,12,Seminole , Florida
175,8377.0,1614.0,25.0,36.0,0.0,128.0,1178.0,"Sumter County, Florida",119,12,Sumter , Florida
176,7490.0,1999.0,59.0,10.0,0.0,386.0,1810.0,"Suwannee County, Florida",121,12,Suwannee , Florida
177,1734.0,802.0,17.0,10.0,0.0,50.0,49.0,"Taylor County, Florida",123,12,Taylor , Florida
178,1410.0,384.0,1.0,28.0,0.0,131.0,149.0,"Union County, Florida",125,12,Union , Florida
179,59104.0,17711.0,337.0,1280.0,33.0,3182.0,15011.0,"Volusia County, Florida",127,12,Volusia , Florida
180,3135.0,375.0,31.0,0.0,0.0,127.0,78.0,"Wakulla County, Florida",129,12,Wakulla , Florida
181,8047.0,762.0,246.0,0.0,0.0,255.0,615.0,"Walton County, Florida",131,12,Walton , Florida
182,2927.0,1033.0,28.0,26.0,0.0,292.0,120.0,"Washington County, Florida",133,12,Washington , Florida
183,2884.0,786.0,0.0,73.0,0.0,55.0,750.0,"Appling County, Georgia",001,13,Appling , Georgia
184,1283.0,335.0,0.0,0.0,0.0,143.0,1169.0,"Atkinson County, Georgia",003,13,Atkinson , Georgia
185,1460.0,633.0,0.0,14.0,9.0,22.0,180.0,"Bacon County, Georgia",005,13,Bacon , Georgia
186,157.0,592.0,0.0,0.0,0.0,0.0,5.0,"Baker County, Georgia",007,13,Baker , Georgia
187,5854.0,6988.0,1.0,113.0,39.0,224.0,550.0,"Baldwin County, Georgia",009,13,Baldwin , Georgia
188,2823.0,93.0,17.0,0.0,0.0,15.0,421.0,"Banks County, Georgia",011,13,Banks , Georgia
189,7062.0,1765.0,122.0,241.0,0.0,211.0,1560.0,"Barrow County, Georgia",013,13,Barrow , Georgia
190,12193.0,2564.0,173.0,113.0,0.0,308.0,2597.0,"Bartow County, Georgia",015,13,Bartow , Georgia
191,2431.0,3450.0,0.0,0.0,0.0,337.0,444.0,"Ben Hill County, Georgia",017,13,Ben Hill , Georgia
192,3562.0,850.0,0.0,12.0,0.0,172.0,186.0,"Berrien County, Georgia",019,13,Berrien , Georgia
193,8196.0,29880.0,28.0,493.0,2.0,885.0,2058.0,"Bibb County, Georgia",021,13,Bibb , Georgia
194,1281.0,1568.0,0.0,0.0,0.0,77.0,4.0,"Bleckley County, Georgia",023,13,Bleckley , Georgia
195,3668.0,86.0,0.0,0.0,0.0,67.0,25.0,"Brantley County, Georgia",025,13,Brantley , Georgia
196,1476.0,2461.0,15.0,6.0,0.0,34.0,445.0,"Brooks County, Georgia",027,13,Brooks , Georgia
197,2709.0,932.0,44.0,16.0,0.0,196.0,239.0,"Bryan County, Georgia",029,13,Bryan , Georgia
198,12380.0,8250.0,91.0,400.0,16.0,417.0,851.0,"Bulloch County, Georgia",031,13,Bulloch , Georgia
199,2034.0,5581.0,0.0,0.0,0.0,83.0,82.0,"Burke County, Georgia",033,13,Burke , Georgia
200,1973.0,1601.0,0.0,0.0,0.0,49.0,0.0,"Butts County, Georgia",035,13,Butts , Georgia
