State,County,Value,Gender,Race/Ethnicity,Lat,Lng,Fast Food Count
KY,Leslie County,546.4,Overall,Overall,37.099286,-83.384926,20
AR,Poinsett County,545.6,Overall,Overall,35.576224,-90.663636,20
LA,Calcasieu Parish,545.3,Overall,Overall,30.23335,-93.352429,20
AL,DeKalb County,545.1,Overall,Overall,34.462067,-85.803144,20
VA,Petersburg City,543.8,Overall,Overall,37.203414,-77.397564,20
KY,Jackson County,543.7,Overall,Overall,37.420563,-84.013324,20
AL,Perry County,543.2,Overall,Overall,32.640101,-87.292576,17
AL,Colbert County,542.3,Overall,Overall,34.700954,-87.805794,20
LA,Vernon Parish,541.3,Overall,Overall,31.110234,-93.177453,20
KY,Powell County,541.1,Overall,Overall,37.835076,-83.832053,20
MO,Mississippi County,541.1,Overall,Overall,36.830611,-89.292579,20
LA,East Feliciana Parish,539.9,Overall,Overall,30.846531,-91.042189,11
MS,Clarke County,539.9,Overall,Overall,32.043695,-88.688722,20
OH,Scioto County,539.4,Overall,Overall,38.801553,-82.997835,20
AL,Choctaw County,538.8,Overall,Overall,32.023039,-88.263625,3
AL,Chilton County,537.9,Overall,Overall,32.85542,-86.717847,20
MS,Sunflower County,537.5,Overall,Overall,33.604959,-90.587316,20
OH,Fayette County,537.4,Overall,Overall,39.555608,-83.45545,20
TN,Macon County,537.2,Overall,Overall,36.535135,-86.00214,20
AR,Lincoln County,536.4,Overall,Overall,33.95679,-91.723698,20
MS,Bolivar County,535.6,Overall,Overall,33.798815,-90.877884,20
OK,Latimer County,535.6,Overall,Overall,34.884156,-95.248402,10
OH,Jackson County,535.6,Overall,Overall,39.012586,-82.618188,20
MS,Warren County,535.1,Overall,Overall,32.359803,-90.852561,20
MS,Lauderdale County,534.9,Overall,Overall,32.406351,-88.663751,20
KY,Harlan County,534.6,Overall,Overall,36.858843,-83.224123,20
MS,Wayne County,534.4,Overall,Overall,31.640997,-88.690787,11
OK,Ottawa County,534.1,Overall,Overall,36.839667,-94.814463,20
LA,Claiborne Parish,533.9,Overall,Overall,32.824165,-92.987215,20
NY,Chenango County,533.2,Overall,Overall,42.494282,-75.609544,10
KY,Letcher County,532.5,Overall,Overall,37.12323,-82.855199,20
AR,Lee County,530.6,Overall,Overall,34.785848,-90.776505,16
MS,Yalobusha County,529.8,Overall,Overall,34.031098,-89.708417,20
TN,Perry County,529.7,Overall,Overall,35.651078,-87.856114,11
MS,Smith County,529.2,Overall,Overall,32.023165,-89.504193,20
LA,Jefferson Davis Parish,529.2,Overall,Overall,30.274662,-92.809399,20
AL,Franklin County,528.0,Overall,Overall,34.445544,-87.843784,20
AR,Mississippi County,527.7,Overall,Overall,35.763136,-90.053684,20
TX,Polk County,526.2,Overall,Overall,30.794672,-94.830263,20
LA,West Carroll Parish,526.1,Overall,Overall,32.791975,-91.448353,5
MO,Cooper County,525.3,Overall,Overall,38.842988,-92.814619,18
LA,Winn Parish,524.9,Overall,Overall,31.949675,-92.630997,14
GA,Bibb County,524.8,Overall,Overall,32.800134,-83.693607,20
WV,Mingo County,523.9,Overall,Overall,37.724312,-82.134354,20
SC,Marion County,523.9,Overall,Overall,34.07668,-79.366288,20
SC,Darlington County,523.7,Overall,Overall,34.333623,-79.957778,20
GA,Chattahoochee County,523.2,Overall,Overall,32.343241,-84.782888,20
GU,Guam County,523.1,Overall,Overall,13.443116,144.776553,20
GU,Guam,523.1,Overall,Overall,13.4431,144.777,20
KY,Estill County,523.0,Overall,Overall,37.692408,-83.967702,20
TX,Bowie County,522.2,Overall,Overall,33.448664,-94.416258,20
GA,Upson County,521.6,Overall,Overall,32.877036,-84.296242,20
TX,Liberty County,520.4,Overall,Overall,30.155052,-94.81795,20
TX,Red River County,520.1,Overall,Overall,33.627931,-95.045537,10
TX,Roberts County,519.6,Overall,Overall,35.841866,-100.815135,20
TN,Grundy County,519.4,Overall,Overall,35.396367,-85.72182,20
IN,Vermillion County,518.6,Overall,Overall,39.863568,-87.469918,20
MS,Chickasaw County,518.5,Overall,Overall,33.923795,-88.941645,16
TN,Lewis County,518.0,Overall,Overall,35.533474,-87.488482,20
MO,Butler County,517.3,Overall,Overall,36.712912,-90.411396,20
TX,Anderson County,517.1,Overall,Overall,31.818582,-95.653925,20
AR,Independence County,516.1,Overall,Overall,35.743309,-91.566601,20
KY,Knott County,516.1,Overall,Overall,37.357639,-82.956613,20
OK,McIntosh County,516.0,Overall,Overall,35.382639,-95.662484,20
OK,McCurtain County,515.8,Overall,Overall,34.11768,-94.764174,20
OH,Jefferson County,515.6,Overall,Overall,40.382137,-80.760737,20
AL,Jackson County,515.4,Overall,Overall,34.784419,-85.993741,20
