,totalpop,poverty_White,poverty_Black,poverty_AmerInd,poverty_Asian,poverty_NatHaw,poverty_Multi,poverty_Hisp,Name,Country,state,factor,white_perh,black_perh,amerind_perh,asian_perh,nathaw_perh,multi_perh,hisp_perh,CountyName,StateName
0,9974203.0,852711.0,196990.0,12335.0,173556.0,3764.0,58196.0,1126170.0,"Los Angeles County, California",037,06,99.74203,8549.16427909077,1974.9948943289003,123.66902899409607,1740.0488038994192,37.73735104448947,583.4651650863733,11290.8269462733,Los Angeles County, California
1,152452.0,28174.0,1412.0,460.0,417.0,6.0,879.0,23490.0,"Madera County, California",039,06,1.52452,18480.570933802115,926.1931624380132,301.73431637499016,273.5287172355889,3.9356649961955235,576.5749219426442,15408.128460105474,Madera County, California
2,256802.0,13338.0,1471.0,205.0,1443.0,33.0,1191.0,8138.0,"Marin County, California",041,06,2.56802,5193.8847828287935,572.8148534668733,79.82803872243986,561.9115115925888,12.850367208978122,463.7814347240286,3168.978434747393,Marin County, California
3,17946.0,2394.0,34.0,191.0,23.0,0.0,49.0,556.0,"Mariposa County, California",043,06,0.17946,13340.02006018054,189.45726067090158,1064.304023180653,128.16226457149224,0.0,273.04134626100523,3098.1834392065084,Mariposa County, California
4,87612.0,13023.0,199.0,1269.0,325.0,43.0,751.0,5829.0,"Mendocino County, California",045,06,0.87612,14864.402136693603,227.1378349997717,1448.4317216819613,370.9537506277679,49.080034698443136,857.1885129890883,6653.198192028489,Mendocino County, California
5,261609.0,39303.0,2714.0,630.0,4756.0,11.0,3027.0,43589.0,"Merced County, California",047,06,2.61609,15023.565703014805,1037.426082436002,240.81740307099528,1817.9802682629422,4.204748307588806,1157.0702842792107,16661.888543589863,Merced County, California
6,9335.0,1547.0,46.0,110.0,7.0,0.0,143.0,454.0,"Modoc County, California",049,06,0.09335,16572.040707016604,492.76914836636314,1178.3610069630422,74.98660953401178,0.0,1531.869309051955,4863.417246920193,Modoc County, California
7,14193.0,347.0,27.0,85.0,0.0,0.0,5.0,296.0,"Mono County, California",051,06,0.14193,2444.8671880504476,190.23462270133163,598.8867751708589,0.0,0.0,35.228633833579934,2085.535122947932,Mono County, California
8,424927.0,54340.0,1694.0,1506.0,2516.0,133.0,1722.0,53561.0,"Monterey County, California",053,06,4.24927,12788.078893551128,398.65671044673553,354.4138169615016,592.1017021747265,31.299493795404857,405.2460775615576,12604.753287035184,Monterey County, California
9,139253.0,10723.0,446.0,88.0,541.0,35.0,627.0,6633.0,"Napa County, California",055,06,1.39253,7700.372702922019,320.2803530265057,63.19432974514014,388.50150445591834,25.134108421362555,450.2595994341235,4763.272604539938,Napa County, California
10,98606.0,11121.0,76.0,92.0,153.0,7.0,323.0,1694.0,"Nevada County, California",057,06,0.98606,11278.218363994078,77.07441737825285,93.30061051051659,155.16297182727217,7.098959495365393,327.5662738575746,1717.9481978784252,Nevada County, California
11,3086331.0,208177.0,7432.0,2214.0,69756.0,945.0,13860.0,211433.0,"Orange County, California",059,06,30.86331,6745.128762922707,240.80372455190323,71.73566283072036,2260.1593931435095,30.618880476526986,449.07691365572913,6850.62619660691,Orange County, California
12,361518.0,24821.0,1141.0,284.0,1259.0,62.0,2291.0,7860.0,"Placer County, California",061,06,3.61518,6865.771552177208,315.6136070679745,78.55763751735736,348.25375223363704,17.149906781958297,633.71671673333,2174.165601712778,Placer County, California
13,19286.0,2564.0,43.0,238.0,47.0,0.0,57.0,272.0,"Plumas County, California",063,06,0.19286,13294.617857513222,222.959659856891,1234.0557917660478,243.70009333195063,0.0,295.5511770195997,1410.3494763040546,Plumas County, California
14,2266899.0,215398.0,30263.0,5337.0,12761.0,2509.0,15655.0,234815.0,"Riverside County, California",065,06,22.66899,9501.878998579115,1334.9955159007966,235.43175059850483,562.927594039258,110.67983178782998,690.5909791305214,10358.423555703188,Riverside County, California
15,1450277.0,127115.0,40895.0,2780.0,38157.0,2924.0,19360.0,79849.0,"Sacramento County, California",067,06,14.50277,8764.877330330688,2819.8061473773632,191.6875190049901,2631.014626860938,201.6166566800687,1334.9173985383482,5505.7757931760625,Sacramento County, California
16,56888.0,6067.0,86.0,28.0,54.0,13.0,185.0,5012.0,"San Benito County, California",069,06,0.56888,10664.81507523555,151.17423709745464,49.21951905498523,94.92335817747151,22.851919561243143,325.20039375615244,8810.293910842356,San Benito County, California
17,2078586.0,222727.0,46933.0,4112.0,16128.0,883.0,15918.0,237748.0,"San Bernardino County, California",071,06,20.78586,10715.313198491667,2257.9291884001914,197.82679186716354,775.9120863894975,42.48080185279801,765.809064431301,11437.967926272957,San Bernardino County, California
18,3183143.0,303980.0,32054.0,3808.0,39421.0,2337.0,21635.0,209416.0,"San Diego County, California",073,06,31.83143,9549.680928566513,1006.9921458131162,119.63018940713627,1238.4300673893695,73.41800227008338,679.6741459620256,6578.906445610517,San Diego County, California
19,829072.0,41089.0,13867.0,637.0,37975.0,845.0,5500.0,19664.0,"San Francisco County, California",075,06,8.29072,4956.02311982554,1672.5929714186464,76.83289268000848,4580.422448231276,101.9211841673582,663.3923229828049,2371.8084798425225,San Francisco County, California
20,701050.0,65484.0,15004.0,1634.0,18724.0,741.0,10585.0,69394.0,"San Joaquin County, California",077,06,7.0105,9340.845874046074,2140.2182440624774,233.0789529990728,2670.8508665573067,105.6985949646958,1509.878040082733,9898.580700378005,San Joaquin County, California
