,County,State,Hospital Count
1050,Glenn County,CA,2
1051,Gloucester County,NJ,20
1052,Gloucester County,VA,4
1053,Glynn County,GA,1
1054,Gogebic County,MI,3
1055,Golden Valley County,MT,2
1056,Goliad County,TX,20
1057,Gonzales County,TX,4
1058,Goochland County,VA,19
1059,Goodhue County,MN,17
1060,Gooding County,ID,1
1061,Gordon County,GA,1
1062,Goshen County,WY,4
1063,Gosper County,NE,4
1064,Gove County,KS,1
1065,Grady County,GA,1
1066,Grady County,OK,1
1067,Grafton County,NH,20
1068,Graham County,AZ,1
1069,Graham County,KS,1
1070,Graham County,NC,15
1071,Grainger County,TN,20
1072,Grand County,CO,2
1073,Grand County,UT,1
1074,Grand Forks County,ND,20
1075,Grand Isle County,VT,20
1076,Grand Traverse County,MI,15
1077,Granite County,MT,1
1078,Grant County,AR,4
1079,Grant County,IN,5
1080,Grant County,KS,1
1081,Grant County,KY,4
1082,Grant County,MN,2
1083,Grant County,ND,6
1084,Grant County,NE,1
1085,Grant County,NM,2
1086,Grant County,OK,1
1087,Grant County,OR,2
1088,Grant County,SD,9
1089,Grant County,WA,11
1090,Grant County,WI,1
1091,Grant County,WV,2
1092,Grant Parish,LA,17
1093,Granville County,NC,19
1094,Gratiot County,MI,13
1095,Graves County,KY,4
1096,Gray County,KS,14
1097,Gray County,TX,2
1098,Grays Harbor County,WA,8
1099,Grayson County,KY,1
1100,Grayson County,TX,20
1101,Grayson County,VA,9
1102,Greeley County,KS,1
1103,Greeley County,NE,1
1104,Green County,KY,1
1105,Green County,WI,5
1106,Green Lake County,WI,5
1107,Greenbrier County,WV,3
1108,Greene County,AL,1
1109,Greene County,AR,1
1110,Greene County,GA,1
1111,Greene County,IA,1
1112,Greene County,IL,9
1113,Greene County,IN,1
1114,Greene County,MO,20
1115,Greene County,MS,1
1116,Greene County,NC,1
1117,Greene County,NY,8
1118,Greene County,OH,1
1119,Greene County,PA,2
1120,Greene County,TN,10
1121,Greene County,VA,1
1122,Greenlee County,AZ,10
1123,Greensville County,VA,1
1124,Greenup County,KY,20
1125,Greenville County,SC,10
1126,Greenwood County,KS,1
1127,Greenwood County,SC,1
1128,Greer County,OK,7
1129,Gregg County,TX,20
1130,Gregory County,SD,2
1131,Grenada County,MS,1
1132,Griggs County,ND,1
1133,Grimes County,TX,11
1134,Grundy County,IA,2
1135,Grundy County,IL,6
1136,Grundy County,MO,4
1137,Grundy County,TN,6
1138,Guadalupe County,NM,1
1139,Guadalupe County,TX,1
1140,Guam County,GU,5
1141,Guam,GU,3
1142,Guanica Municipio,PR,4
1143,Guayama Municipio,PR,6
1144,Guayanilla Municipio,PR,1
1145,Guaynabo Municipio,PR,16
1146,Guernsey County,OH,7
1147,Guilford County,NC,20
1148,Gulf County,FL,1
1149,Gunnison County,CO,1
1150,Gurabo Municipio,PR,2
1151,Guthrie County,IA,2
1152,Gwinnett County,GA,7
1153,Haakon County,SD,1
1154,Habersham County,GA,1
1155,Hale County,AL,1
1156,Hale County,TX,18
1157,Halifax County,NC,1
1158,Halifax County,VA,1
1159,Hall County,GA,20
1160,Hall County,NE,17
1161,Hall County,TX,2
1162,Hamblen County,TN,1
1163,Hamilton County,FL,5
1164,Hamilton County,IA,3
1165,Hamilton County,IL,1
1166,Hamilton County,IN,1
1167,Hamilton County,KS,1
1168,Hamilton County,NE,1
1169,Hamilton County,NY,20
1170,Hamilton County,OH,20
1171,Hamilton County,TN,20
1172,Hamilton County,TX,2
1173,Hamlin County,SD,3
1174,Hampden County,MA,20
1175,Hampshire County,MA,20
1176,Hampshire County,WV,1
1177,Hampton City,VA,20
1178,Hancock County,GA,20
1179,Hancock County,IA,1
1180,Hancock County,IL,5
1181,Hancock County,IN,1
1182,Hancock County,KY,2
1183,Hancock County,ME,5
1184,Hancock County,MS,1
1185,Hancock County,OH,10
1186,Hancock County,TN,1
1187,Hancock County,WV,20
1188,Hand County,SD,1
1189,Hanover County,VA,20
1190,Hansford County,TX,1
1191,Hanson County,SD,3
1192,Haralson County,GA,1
1193,Hardee County,FL,3
1194,Hardeman County,TN,1
1195,Hardeman County,TX,1
1196,Hardin County,IA,1
1197,Hardin County,IL,1
1198,Hardin County,KY,1
1199,Hardin County,OH,1
1200,Hardin County,TN,1
1201,Hardin County,TX,20
1202,Harding County,NM,1
1203,Hardy County,WV,8
1204,Harford County,MD,20
1205,Harlan County,KY,1
1206,Harlan County,NE,1
1207,Harmon County,OK,1
1208,Harnett County,NC,2
1209,Harney County,OR,1
1210,Harper County,KS,3
1211,Harper County,OK,1
1212,Harris County,GA,20
1213,Harris County,TX,20
1214,Harrison County,IA,2
1215,Harrison County,IN,1
1216,Harrison County,KY,1
1217,Harrison County,MO,1
1218,Harrison County,MS,20
1219,Harrison County,OH,1
1220,Harrison County,TX,20
1221,Harrison County,WV,14
1222,Harrisonburg City,VA,20
1223,Hart County,GA,8
1224,Hart County,KY,3
1225,Hartford County,CT,20
1226,Hartley County,TX,1
1227,Harvey County,KS,14
1228,Haskell County,KS,1
1229,Haskell County,OK,1
1230,Haskell County,TX,1
1231,Hatillo Municipio,PR,3
1232,Hawaii County,HI,20
1233,Hawaii,HI,20
1234,Hawkins County,TN,1
1235,Hayes County,NE,1
1236,Hays County,TX,20
1237,Haywood County,NC,1
1238,Haywood County,TN,20
1239,Heard County,GA,20
1240,Hemphill County,TX,1
1241,Hempstead County,AR,11
1242,Henderson County,IL,11
1243,Henderson County,KY,1
1244,Henderson County,NC,3
1245,Henderson County,TN,1
1246,Henderson County,TX,20
1247,Hendricks County,IN,1
1248,Hendry County,FL,3
1249,Hennepin County,MN,1
1250,Henrico County,VA,20
1251,Henry County,AL,15
1252,Henry County,GA,1
1253,Henry County,IA,1
1254,Henry County,IL,1
1255,Henry County,IN,1
1256,Henry County,KY,4
1257,Henry County,MO,4
1258,Henry County,OH,1
1259,Henry County,TN,3
1260,Henry County,VA,1
1261,Herkimer County,NY,13
1262,Hernando County,FL,14
1263,Hertford County,NC,2
1264,Hettinger County,ND,3
1265,Hickman County,KY,11
1266,Hickman County,TN,1
1267,Hidalgo County,NM,3
1268,Hidalgo County,TX,20
1269,Highland County,OH,2
1270,Highland County,VA,1
1271,Highlands County,FL,11
1272,Hill County,MT,4
1273,Hill County,TX,4
1274,Hillsborough County,FL,20
1275,Hillsborough County,NH,20
1276,Hillsdale County,MI,1
1277,Hinds County,MS,20
1278,Hinsdale County,CO,20
1279,Hitchcock County,NE,1
1280,Hocking County,OH,1
1281,Hockley County,TX,1
1282,Hodgeman County,KS,1
1283,Hoke County,NC,13
1284,Holmes County,MS,3
1285,Holmes County,OH,2
1286,Holt County,MO,1
1287,Holt County,NE,3
1288,Honolulu County,HI,20
1289,Hood County,TX,5
1290,Hood River County,OR,6
1291,Hopewell City,VA,7
1292,Hopkins County,TX,2
1293,Hormigueros Municipio,PR,1
1294,Horry County,SC,20
1295,Hot Spring County,AR,12
1296,Hot Springs County,WY,1
1297,Houghton County,MI,4
1298,Houston County,AL,16
1299,Houston County,GA,3
1300,Houston County,MN,20
1301,Houston County,TN,1
1302,Houston County,TX,20
1303,Howard County,AR,1
1304,Howard County,IA,1
1305,Howard County,IN,2
1306,Howard County,MD,1
1307,Howard County,MO,4
1308,Howard County,TX,8
1309,Howell County,MO,9
1310,Hubbard County,MN,8
1311,Hudson County,NJ,20
1312,Hudspeth County,TX,3
1313,Huerfano County,CO,3
1314,Hughes County,OK,5
1315,Hughes County,SD,2
1316,Humacao Municipio,PR,20
1317,Humboldt County,CA,19
1318,Humboldt County,IA,1
1319,Humboldt County,NV,1
1320,Humphreys County,MS,1
1321,Humphreys County,TN,1
1322,Hunt County,TX,14
1323,Hunterdon County,NJ,8
1324,Huntingdon County,PA,3
1325,Huntington County,IN,1
1326,Huron County,MI,8
1327,Huron County,OH,11
1328,Hutchinson County,SD,4
1329,Hutchinson County,TX,2
1330,Hyde County,NC,14
1331,Hyde County,SD,3
1332,Iberia Parish,LA,12
1333,Iberville Parish,LA,1
1334,Ida County,IA,1
1335,Idaho County,ID,4
1336,Idaho,ID,20
1337,Illinois,IL,20
1338,Imperial County,CA,10
1339,Independence County,AR,12
1340,Indian River County,FL,3
1341,Indiana County,PA,4
1342,Indiana,IN,20
1343,Ingham County,MI,20
1344,Inyo County,CA,5
1345,Ionia County,MI,3
1346,Iosco County,MI,15
1347,Iowa County,IA,11
1348,Iowa County,WI,7
1349,Iowa,IA,20
1350,Iredell County,NC,2
1351,Iron County,MI,5
1352,Iron County,MO,1
1353,Iron County,UT,2
1354,Iron County,WI,7
1355,Iroquois County,IL,7
1356,Irwin County,GA,1
1357,Isabela Municipio,PR,1
1358,Isabella County,MI,12
1359,Isanti County,MN,5
1360,Island County,WA,20
1361,Isle of Wight County,VA,20
1362,Issaquena County,MS,1
1363,Itasca County,MN,5
1364,Itawamba County,MS,19
1365,Izard County,AR,1
1366,Jackson County,AL,2
1367,Jackson County,AR,2
1368,Jackson County,CO,3
1369,Jackson County,GA,20
1370,Jackson County,IA,1
1371,Jackson County,IL,12
1372,Jackson County,IN,3
1373,Jackson County,KS,19
1374,Jackson County,KY,5
1375,Jackson County,MI,20
1376,Jackson County,MN,1
1377,Jackson County,MO,20
1378,Jackson County,MS,6
1379,Jackson County,NC,2
1380,Jackson County,OH,6
1381,Jackson County,OK,2
1382,Jackson County,OR,7
1383,Jackson County,SD,2
1384,Jackson County,TN,12
1385,Jackson County,WI,3
1386,Jackson County,WV,1
1387,Jackson Parish,LA,1
1388,James City County,VA,20
1389,Jasper County,GA,1
1390,Jasper County,IA,1
1391,Jasper County,IN,1
1392,Jasper County,MO,9
1393,Jasper County,MS,1
1394,Jasper County,SC,11
1395,Jasper County,TX,1
1396,Jay County,IN,1
1397,Jayuya Municipio,PR,20
1398,Jeff Davis County,GA,1
1399,Jeff Davis County,TX,4
1400,Jefferson County,AL,20
1401,Jefferson County,AR,1
1402,Jefferson County,CO,20
1403,Jefferson County,FL,5
1404,Jefferson County,GA,2
1405,Jefferson County,IA,1
1406,Jefferson County,ID,7
1407,Jefferson County,IL,3
1408,Jefferson County,KS,1
1409,Jefferson County,KY,20
1410,Jefferson County,MO,1
1411,Jefferson County,MS,1
1412,Jefferson County,MT,8
1413,Jefferson County,NE,1
1414,Jefferson County,NY,20
1415,Jefferson County,OH,20
1416,Jefferson County,OK,1
1417,Jefferson County,OR,2
1418,Jefferson County,PA,16
1419,Jefferson County,TN,1
1420,Jefferson County,TX,20
1421,Jefferson County,WA,1
1422,Jefferson County,WI,4
1423,Jefferson County,WV,1
1424,Jefferson Davis County,MS,1
1425,Jefferson Davis Parish,LA,3
1426,Jefferson Parish,LA,8
1427,Jenkins County,GA,1
1428,Jennings County,IN,1
1429,Jerauld County,SD,2
1430,Jerome County,ID,1
1431,Jersey County,IL,1
1432,Jessamine County,KY,1
1433,Jewell County,KS,1
1434,Jim Wells County,TX,10
1435,Jo Daviess County,IL,16
1436,Johnson County,AR,2
1437,Johnson County,GA,14
1438,Johnson County,IA,20
1439,Johnson County,IL,20
1440,Johnson County,IN,1
1441,Johnson County,KS,20
1442,Johnson County,KY,3
1443,Johnson County,MO,3
1444,Johnson County,NE,1
1445,Johnson County,TN,1
1446,Johnson County,TX,5
1447,Johnson County,WY,1
1448,Johnston County,NC,3
1449,Johnston County,OK,10
1450,Jones County,GA,20
1451,Jones County,IA,1
1452,Jones County,MS,20
1453,Jones County,NC,20
1454,Jones County,TX,20
1455,Josephine County,OR,10
1456,Juab County,UT,1
1457,Juana Diaz Municipio,PR,20
1458,Judith Basin County,MT,3
1459,Juncos Municipio,PR,1
1460,Juneau County,WI,1
1461,Juniata County,PA,15
1462,Kalamazoo County,MI,20
1463,Kalawao County,HI,1
1464,Kalkaska County,MI,8
1465,Kanabec County,MN,3
1466,Kanawha County,WV,20
1467,Kandiyohi County,MN,5
1468,Kane County,IL,20
1469,Kane County,UT,1
1470,Kankakee County,IL,16
1471,Kansas,KS,20
1472,Karnes County,TX,2
1473,Kauai County,HI,8
1474,Kaufman County,TX,3
1475,Kay County,OK,8
1476,Kearney County,NE,1
1477,Keith County,NE,3
1478,Kemper County,MS,1
1479,Kendall County,IL,20
1480,Kendall County,TX,16
1481,Kenedy County,TX,1
1482,Kennebec County,ME,20
1483,Kenosha County,WI,20
1484,Kent County,DE,4
1485,Kent County,MD,20
1486,Kent County,MI,20
1487,Kent County,RI,9
1488,Kenton County,KY,20
1489,Kentucky,KY,20
1490,Keokuk County,IA,1
1491,Kern County,CA,20
1492,Kerr County,TX,8
1493,Kershaw County,SC,1
1494,Ketchikan Gateway,AK,1
1495,Kewaunee County,WI,20
1496,Keweenaw County,MI,1
1497,Keya Paha County,NE,8
1498,Kimball County,NE,1
1499,Kimble County,TX,1
1500,King County,TX,1
1501,King County,WA,20
1502,King George County,VA,15
1503,King William County,VA,18
1504,King and Queen County,VA,20
1505,Kingfisher County,OK,2
1506,Kingman County,KS,1
1507,Kings County,CA,20
1508,Kings County,NY,12
1509,Kingsbury County,SD,3
1510,Kinney County,TX,20
1511,Kiowa County,CO,1
1512,Kiowa County,KS,1
1513,Kiowa County,OK,1
1514,Kit Carson County,CO,1
1515,Kitsap County,WA,20
1516,Kittitas County,WA,2
1517,Kittson County,MN,1
1518,Klamath County,OR,3
1519,Kleberg County,TX,1
1520,Klickitat County,WA,20
1521,Knott County,KY,15
1522,Knox County,IL,11
1523,Knox County,IN,2
1524,Knox County,ME,2
1525,Knox County,MO,2
1526,Knox County,NE,9
1527,Knox County,OH,5
1528,Knox County,TN,20
1529,Kodiak Island,AK,1
1530,Koochiching County,MN,8
1531,Kootenai County,ID,8
1532,Kosciusko County,IN,1
1533,Kossuth County,IA,1
1534,La Crosse County,WI,20
1535,La Paz County,AZ,6
1536,La Plata County,CO,11
1537,La Salle County,IL,20
1538,La Salle County,TX,2
1539,La Salle Parish,LA,2
1540,LaGrange County,IN,1
1541,LaMoure County,ND,7
1542,LaPorte County,IN,9
1543,Labette County,KS,3
1544,Lac qui Parle County,MN,8
1545,Lackawanna County,PA,20
1546,Lafayette County,AR,5
1547,Lafayette County,FL,5
1548,Lafayette County,MO,1
1549,Lafayette County,MS,1
1550,Lafayette County,WI,1
1551,Lafayette Parish,LA,20
1552,Lafourche Parish,LA,20
1553,Lajas Municipio,PR,2
1554,Lake County,CA,8
1555,Lake County,CO,1
1556,Lake County,FL,12
1557,Lake County,IL,20
1558,Lake County,IN,20
1559,Lake County,MI,10
1560,Lake County,MN,1
1561,Lake County,MT,6
1562,Lake County,OH,20
1563,Lake County,OR,1
1564,Lake County,SD,7
1565,Lake County,TN,8
1566,Lake of the Woods County,MN,3
1567,Lamar County,AL,16
1568,Lamar County,GA,12
1569,Lamar County,MS,20
1570,Lamar County,TX,13
1571,Lamb County,TX,1
1572,Lamoille County,VT,3
1573,Lampasas County,TX,4
1574,Lancaster County,NE,20
1575,Lancaster County,PA,20
1576,Lancaster County,SC,1
1577,Lancaster County,VA,2
1578,Lander County,NV,2
1579,Lane County,OR,20
1580,Langlade County,WI,1
1581,Lanier County,GA,1
1582,Lapeer County,MI,10
1583,Laramie County,WY,9
1584,Lares Municipio,PR,4
1585,Larimer County,CO,20
1586,Larue County,KY,13
1587,Las Animas County,CO,11
1588,Las Marias Municipio,PR,2
1589,Las Piedras Municipio,PR,7
1590,Lassen County,CA,8
1591,Latah County,ID,2
1592,Latimer County,OK,4
1593,Lauderdale County,AL,16
1594,Lauderdale County,MS,20
1595,Lauderdale County,TN,1
1596,Laurel County,KY,1
1597,Laurens County,GA,5
1598,Laurens County,SC,1
1599,Lavaca County,TX,1
1600,Lawrence County,AR,1
1601,Lawrence County,IL,1
1602,Lawrence County,IN,5
1603,Lawrence County,KY,1
1604,Lawrence County,MO,8
1605,Lawrence County,MS,1
1606,Lawrence County,OH,20
1607,Lawrence County,PA,20
1608,Lawrence County,SD,7
1609,Lawrence County,TN,3
1610,Le Flore County,OK,1
1611,Le Sueur County,MN,9
1612,Lea County,NM,4
1613,Leake County,MS,1
1614,Leavenworth County,KS,19
1615,Lebanon County,PA,14
1616,Lee County,AL,11
1617,Lee County,AR,13
1618,Lee County,FL,17
1619,Lee County,GA,20
1620,Lee County,IA,5
1621,Lee County,IL,7
1622,Lee County,KY,4
1623,Lee County,MS,13
1624,Lee County,NC,1
1625,Lee County,SC,19
1626,Lee County,TX,8
1627,Lee County,VA,3
1628,Leelanau County,MI,17
1629,Leflore County,MS,1
1630,Lehigh County,PA,20
1631,Lemhi County,ID,1
1632,Lenawee County,MI,19
1633,Lenoir County,NC,1
1634,Leon County,FL,15
1635,Leon County,TX,19
1636,Leslie County,KY,1
1637,Letcher County,KY,2
1638,Levy County,FL,4
1639,Lewis County,ID,3
1640,Lewis County,KY,20
1641,Lewis County,MO,11
1642,Lewis County,NY,1
1643,Lewis County,TN,4
1644,Lewis County,WA,2
1645,Lewis County,WV,5
1646,Lewis and Clark County,MT,7
1647,Lexington City,VA,1
1648,Lexington County,SC,20
1649,Liberty County,FL,2
1650,Liberty County,GA,1
1651,Liberty County,MT,1
1652,Liberty County,TX,3
1653,Licking County,OH,20
1654,Limestone County,AL,1
1655,Limestone County,TX,2
1656,Lincoln County,AR,3
1657,Lincoln County,CO,1
1658,Lincoln County,GA,3
1659,Lincoln County,KS,1
1660,Lincoln County,KY,1
1661,Lincoln County,ME,3
1662,Lincoln County,MN,5
1663,Lincoln County,MO,1
1664,Lincoln County,MS,4
1665,Lincoln County,MT,2
1666,Lincoln County,NC,4
1667,Lincoln County,NE,2
1668,Lincoln County,NM,1
1669,Lincoln County,NV,4
1670,Lincoln County,OK,5
1671,Lincoln County,OR,2
1672,Lincoln County,SD,4
1673,Lincoln County,TN,2
1674,Lincoln County,WA,1
1675,Lincoln County,WI,4
1676,Lincoln County,WV,20
1677,Lincoln County,WY,2
1678,Lincoln Parish,LA,15
1679,Linn County,IA,20
1680,Linn County,KS,7
1681,Linn County,MO,2
1682,Linn County,OR,4
1683,Lipscomb County,TX,4
1684,Litchfield County,CT,20
1685,Little River County,AR,1
1686,Live Oak County,TX,14
1687,Livingston County,IL,3
1688,Livingston County,MI,1
1689,Livingston County,MO,1
1690,Livingston County,NY,15
1691,Livingston Parish,LA,20
1692,Llano County,TX,14
1693,Logan County,AR,17
1694,Logan County,CO,3
1695,Logan County,IL,3
1696,Logan County,KS,1
1697,Logan County,KY,1
1698,Logan County,ND,2
1699,Logan County,NE,1
1700,Logan County,OH,5
1701,Logan County,OK,2
1702,Loiza Municipio,PR,5
1703,Long County,GA,4
1704,Lonoke County,AR,19
1705,Lorain County,OH,20
1706,Los Alamos County,NM,2
1707,Los Angeles County,CA,20
1708,Loudon County,TN,1
1709,Loudoun County,VA,3
1710,Louisa County,IA,3
1711,Louisa County,VA,20
1712,Louisiana,LA,20
1713,Loup County,NE,1
1714,Loving County,TX,4
1715,Lowndes County,AL,20
1716,Lowndes County,GA,11
1717,Lowndes County,MS,14
1718,Lubbock County,TX,20
1719,Lucas County,IA,1
1720,Lucas County,OH,20
1721,Luce County,MI,2
1722,Lumpkin County,GA,11
1723,Luna County,NM,7
1724,Lunenburg County,VA,4
1725,Luquillo Municipio,PR,2
1726,Luzerne County,PA,20
1727,Lycoming County,PA,20
1728,Lyman County,SD,2
1729,Lynchburg City,VA,13
1730,Lynn County,TX,1
1731,Lyon County,IA,1
1732,Lyon County,KS,6
1733,Lyon County,KY,5
1734,Lyon County,MN,6
1735,Lyon County,NV,4
1736,Mackinac County,MI,14
1737,Macomb County,MI,20
1738,Macon County,AL,20
1739,Macon County,GA,3
1740,Macon County,IL,20
1741,Macon County,MO,1
1742,Macon County,NC,1
1743,Macon County,TN,1
1744,Macoupin County,IL,17
1745,Madera County,CA,20
1746,Madison County,AL,2
1747,Madison County,FL,1
1748,Madison County,GA,20
1749,Madison County,IA,1
1750,Madison County,ID,1
1751,Madison County,IL,20
1752,Madison County,IN,8
1753,Madison County,KY,2
1754,Madison County,MO,1
1755,Madison County,MS,20
1756,Madison County,MT,2
1757,Madison County,NC,20
1758,Madison County,NE,6
1759,Madison County,NY,13
1760,Madison County,OH,1
1761,Madison County,TN,1
1762,Madison County,TX,1
1763,Madison County,VA,4
1764,Madison Parish,LA,1
1765,Magoffin County,KY,18
1766,Mahaska County,IA,1
1767,Mahnomen County,MN,5
1768,Mahoning County,OH,20
1769,Maine,ME,20
1770,Major County,OK,1
1771,Malheur County,OR,19
1772,Manassas City,VA,12
1773,Manassas Park City,VA,20
1774,Manatee County,FL,7
1775,Manati Municipio,PR,20
1776,Manistee County,MI,7
1777,Manitowoc County,WI,2
1778,Marathon County,WI,20
1779,Marengo County,AL,5
1780,Maricopa County,AZ,5
1781,Maries County,MO,20
1782,Marin County,CA,7
1783,Marinette County,WI,7
1784,Marion County,AL,6
1785,Marion County,AR,16
1786,Marion County,FL,20
1787,Marion County,GA,15
1788,Marion County,IA,4
1789,Marion County,IL,10
1790,Marion County,IN,5
1791,Marion County,KS,1
1792,Marion County,KY,1
1793,Marion County,MO,12
1794,Marion County,MS,1
1795,Marion County,OH,4
1796,Marion County,OR,7
1797,Marion County,SC,2
1798,Marion County,TN,7
1799,Marion County,TX,1
1800,Marion County,WV,6
1801,Mariposa County,CA,1
1802,Marlboro County,SC,20
1803,Marquette County,MI,13
1804,Marquette County,WI,7
1805,Marshall County,AL,2
1806,Marshall County,IA,1
1807,Marshall County,IL,20
1808,Marshall County,IN,1
1809,Marshall County,KY,1
1810,Marshall County,MN,4
1811,Marshall County,MS,2
1812,Marshall County,OK,1
1813,Marshall County,SD,1
1814,Marshall County,TN,1
1815,Marshall County,WV,20
1816,Martin County,FL,7
1817,Martin County,IN,8
1818,Martin County,KY,4
1819,Martin County,MN,4
1820,Martin County,NC,1
1821,Martin County,TX,1
1822,Maryland,MD,20
1823,Mason County,IL,1
1824,Mason County,KY,2
1825,Mason County,MI,8
1826,Mason County,TX,8
1827,Mason County,WA,1
1828,Mason County,WV,6
1829,Massac County,IL,3
1830,Massachusetts,MA,20
1831,Matagorda County,TX,1
1832,Matanuska-Susitna,AK,3
1833,Mathews County,VA,7
1834,Maui County,HI,15
1835,Maunabo Municipio,PR,20
1836,Maury County,TN,6
1837,Maverick County,TX,20
1838,Mayaguez Municipio,PR,20
1839,Mayes County,OK,10
1840,McClain County,OK,20
1841,McCone County,MT,1
1842,McCormick County,SC,5
1843,McCracken County,KY,16
1844,McCreary County,KY,20
1845,McCulloch County,TX,1
1846,McCurtain County,OK,2
1847,McDonald County,MO,17
1848,McDonough County,IL,1
1849,McDowell County,NC,1
1850,McDowell County,WV,1
1851,McDuffie County,GA,1
1852,McHenry County,IL,20
1853,McHenry County,ND,5
1854,McIntosh County,GA,20
1855,McIntosh County,ND,2
1856,McKean County,PA,10
1857,McKenzie County,ND,1
1858,McKinley County,NM,18
1859,McLean County,IL,20
1860,McLean County,KY,14
1861,McLean County,ND,5
1862,McLennan County,TX,20
1863,McLeod County,MN,10
1864,McMinn County,TN,5
1865,McNairy County,TN,15
1866,McPherson County,SD,7
1867,Meade County,KS,1
1868,Meade County,KY,2
1869,Meade County,SD,13
1870,Meagher County,MT,1
1871,Mecklenburg County,NC,20
1872,Mecklenburg County,VA,9
1873,Mecosta County,MI,2
1874,Medina County,OH,7
1875,Medina County,TX,1
1876,Meeker County,MN,2
1877,Meigs County,OH,18
1878,Meigs County,TN,20
1879,Menard County,IL,5
1880,Menard County,TX,4
1881,Mendocino County,CA,3
1882,Menifee County,KY,10
1883,Menominee County,MI,15
1884,Menominee County,WI,3
1885,Merced County,CA,17
1886,Mercer County,IL,1
1887,Mercer County,KY,1
1888,Mercer County,MO,3
1889,Mercer County,ND,2
1890,Mercer County,NJ,20
1891,Mercer County,OH,2
1892,Mercer County,PA,20
1893,Mercer County,WV,3
1894,Meriwether County,GA,16
1895,Merrick County,NE,1
1896,Merrimack County,NH,20
1897,Mesa County,CO,5
1898,Metcalfe County,KY,18
1899,Miami County,IN,2
1900,Miami County,KS,1
1901,Miami County,OH,20
1902,Miami-Dade County,FL,20
1903,Michigan,MI,20
1904,Middlesex County,CT,4
1905,Middlesex County,MA,20
1906,Middlesex County,NJ,20
1907,Middlesex County,VA,7
1908,Midland County,MI,2
1909,Midland County,TX,20
1910,Mifflin County,PA,10
1911,Milam County,TX,20
1912,Millard County,UT,2
1913,Mille Lacs County,MN,3
1914,Miller County,AR,14
1915,Miller County,GA,1
1916,Miller County,MO,2
1917,Mills County,IA,20
1918,Mills County,TX,3
1919,Milwaukee County,WI,20
1920,Miner County,SD,1
1921,Mineral County,CO,2
1922,Mineral County,MT,1
1923,Mineral County,NV,1
1924,Mineral County,WV,9
1925,Mingo County,WV,1
1926,Minidoka County,ID,2
1927,Minnehaha County,SD,20
1928,Minnesota,MN,20
1929,Missaukee County,MI,7
1930,Mississippi County,AR,2
1931,Mississippi County,MO,8
1932,Mississippi,MS,20
1933,Missoula County,MT,18
1934,Missouri,MO,20
1935,Mitchell County,IA,1
1936,Mitchell County,KS,1
1937,Mitchell County,NC,3
1938,Mitchell County,TX,1
1939,Mobile County,AL,20
1940,Moca Municipio,PR,4
1941,Modoc County,CA,3
1942,Moffat County,CO,1
1943,Mohave County,AZ,20
1944,Moniteau County,MO,20
1945,Monmouth County,NJ,20
1946,Mono County,CA,2
1947,Monona County,IA,3
1948,Monongalia County,WV,3
1949,Monroe County,AL,1
1950,Monroe County,AR,4
1951,Monroe County,FL,12
1952,Monroe County,GA,1
1953,Monroe County,IA,1
1954,Monroe County,IL,20
1955,Monroe County,IN,1
1956,Monroe County,KY,1
1957,Monroe County,MI,1
1958,Monroe County,MO,8
1959,Monroe County,MS,20
1960,Monroe County,NY,9
1961,Monroe County,OH,5
1962,Monroe County,PA,20
1963,Monroe County,TN,3
1964,Monroe County,WI,9
1965,Monroe County,WV,8
1966,Montague County,TX,6
1967,Montana,MT,20
1968,Montcalm County,MI,14
1969,Monterey County,CA,20
1970,Montezuma County,CO,4
1971,Montgomery County,AL,20
1972,Montgomery County,AR,2
1973,Montgomery County,GA,8
1974,Montgomery County,IA,1
1975,Montgomery County,IL,16
1976,Montgomery County,KS,10
1977,Montgomery County,KY,1
1978,Montgomery County,MD,20
1979,Montgomery County,MO,3
1980,Montgomery County,MS,2
1981,Montgomery County,NC,1
1982,Montgomery County,NY,20
1983,Montgomery County,OH,20
1984,Montgomery County,PA,20
1985,Montgomery County,TN,20
1986,Montgomery County,TX,20
1987,Montgomery County,VA,3
1988,Montmorency County,MI,1
1989,Montour County,PA,20
1990,Montrose County,CO,6
1991,Moody County,SD,3
1992,Moore County,NC,1
1993,Moore County,TN,11
1994,Moore County,TX,2
1995,Mora County,NM,20
1996,Morehouse Parish,LA,6
1997,Morgan County,AL,15
1998,Morgan County,CO,2
1999,Morgan County,GA,1
2000,Morgan County,IL,5
2001,Morgan County,IN,1
2002,Morgan County,KY,1
2003,Morgan County,MO,16
2004,Morgan County,OH,3
2005,Morgan County,TN,18
2006,Morgan County,UT,1
2007,Morgan County,WV,2
2008,Morovis Municipio,PR,12
2009,Morris County,KS,1
2010,Morris County,NJ,20
2011,Morris County,TX,7
2012,Morrison County,MN,15
2013,Morrow County,OH,1
2014,Morrow County,OR,1
2015,Morton County,ND,14
2016,Motley County,TX,2
2017,Moultrie County,IL,10
2018,Mountrail County,ND,1
2019,Mower County,MN,11
2020,Muhlenberg County,KY,1
2021,Multnomah County,OR,20
2022,Murray County,GA,12
2023,Murray County,MN,1
2024,Murray County,OK,1
2025,Muscatine County,IA,7
2026,Muscogee County,GA,20
2027,Muskegon County,MI,18
2028,Muskingum County,OH,16
2029,Muskogee County,OK,20
2030,Musselshell County,MT,1
2031,Nacogdoches County,TX,16
2032,Naguabo Municipio,PR,6
