,County,State,Hospital Count
240,Bonneville County,ID,8
241,Boone County,AR,1
242,Boone County,IA,1
243,Boone County,IL,20
244,Boone County,IN,1
245,Boone County,KY,20
246,Boone County,MO,2
247,Boone County,NE,1
248,Boone County,WV,1
249,Borden County,TX,8
250,Bosque County,TX,20
251,Bossier Parish,LA,20
252,Botetourt County,VA,15
253,Bottineau County,ND,5
254,Boulder County,CO,4
255,Boundary County,ID,2
256,Bourbon County,KS,1
257,Bowie County,TX,14
258,Box Butte County,NE,1
259,Box Elder County,UT,2
260,Boyd County,KY,20
261,Boyd County,NE,1
262,Boyle County,KY,2
263,Bracken County,KY,20
264,Bradford County,FL,1
265,Bradford County,PA,9
266,Bradley County,AR,2
267,Bradley County,TN,16
268,Branch County,MI,1
269,Brantley County,GA,20
270,Braxton County,WV,1
271,Brazoria County,TX,20
272,Brazos County,TX,20
273,Breathitt County,KY,1
274,Breckinridge County,KY,1
275,Bremer County,IA,3
276,Brevard County,FL,20
277,Brewster County,TX,3
278,Bristol City,VA,16
279,Bristol County,MA,20
280,Bristol County,RI,3
281,Broadwater County,MT,1
282,Bronx County,NY,20
283,Brooke County,WV,18
284,Brookings County,SD,4
285,Brooks County,GA,1
286,Brooks County,TX,1
287,Broome County,NY,20
288,Broomfield County,CO,20
289,Broward County,FL,20
290,Brown County,IL,2
291,Brown County,IN,1
292,Brown County,KS,5
293,Brown County,MN,5
294,Brown County,NE,1
295,Brown County,OH,7
296,Brown County,SD,5
297,Brown County,TX,8
298,Brown County,WI,6
299,Brule County,SD,2
300,Brunswick County,VA,13
301,Bryan County,GA,20
302,Bryan County,OK,17
303,Buchanan County,IA,1
304,Buchanan County,MO,2
305,Buchanan County,VA,1
306,Buckingham County,VA,20
307,Bucks County,PA,20
308,Buena Vista City,VA,3
309,Buena Vista County,IA,1
310,Buffalo County,NE,11
311,Buffalo County,SD,1
312,Buffalo County,WI,14
313,Bullitt County,KY,10
314,Bulloch County,GA,10
315,Bullock County,AL,1
316,Buncombe County,NC,20
317,Bureau County,IL,20
318,Burke County,GA,1
319,Burke County,NC,20
320,Burke County,ND,2
321,Burleigh County,ND,15
322,Burleson County,TX,20
323,Burlington County,NJ,6
324,Burnet County,TX,3
325,Burnett County,WI,1
326,Burt County,NE,17
327,Butler County,AL,4
328,Butler County,IA,6
329,Butler County,KS,20
330,Butler County,KY,20
331,Butler County,MO,10
332,Butler County,NE,3
333,Butler County,OH,20
334,Butler County,PA,20
335,Butte County,CA,20
336,Butte County,ID,1
337,Butte County,SD,4
338,Butts County,GA,4
339,Cabarrus County,NC,20
340,Cabell County,WV,20
341,Cabo Rojo Municipio,PR,1
342,Cache County,UT,1
343,Caddo County,OK,17
344,Caddo Parish,LA,20
345,Caguas Municipio,PR,20
346,Calaveras County,CA,1
