,totalpop,whitetot,blacktot,amerindtot,asiantot,nathawtot,multitot,hisptot,Name,Country,state,factor,white_perh,black_perh,amerind_perh,asian_perh,nathaw_perh,multi_perh,hisp_perh,CountyName,StateName,State,whiteperc,blackperc,amerindperc,asianperc,nathawperc,multiperc,hispperc
0,9974203.0,5329333.0,832253.0,54409.0,1394349.0,26074.0,387845.0,4800491.0,"Los Angeles County, California",037,06,99.74203,53431.16637991025,8344.055159093914,545.4972191763092,13979.553053010852,261.4143706519709,3888.481114731673,48129.06855815948,Los Angeles County,California,CA,53.43116637991025,8.344055159093914,0.5454972191763091,13.979553053010852,0.2614143706519709,3.8884811147316736,48.12906855815948
1,152452.0,125830.0,5382.0,2287.0,3335.0,254.0,5110.0,84009.0,"Madera County, California",039,06,1.52452,82537.45441188046,3530.2915015873846,1500.144307716527,2187.5737937186786,166.60981817227716,3351.874688426521,55105.213444231624,Madera County,California,CA,82.53745441188046,3.530291501587385,1.5001443077165273,2.1875737937186788,0.16660981817227719,3.351874688426521,55.10521344423162
2,256802.0,203975.0,6913.0,674.0,14565.0,593.0,10418.0,40414.0,"Marin County, California",041,06,2.56802,79428.89852882765,2691.957227747447,262.4590151167047,5671.684799962617,230.91720469466748,4056.8219873676994,15737.416375261873,Marin County,California,CA,79.42889852882765,2.6919572277474475,0.2624590151167047,5.671684799962618,0.23091720469466748,4.0568219873677,15.737416375261876
3,17946.0,15850.0,155.0,598.0,232.0,74.0,638.0,1729.0,"Mariposa County, California",043,06,0.17946,88320.51710687618,863.7022177644043,3332.2188788587987,1292.7671904602696,412.34815557784464,3555.1097737657415,9634.458932352612,Mariposa County,California,CA,88.32051710687618,0.8637022177644043,3.3322188788587987,1.2927671904602696,0.41234815557784466,3.555109773765742,9.634458932352613
4,87612.0,72141.0,705.0,4169.0,1570.0,186.0,3305.0,20332.0,"Mendocino County, California",045,06,0.87612,82341.46007396247,804.6842898233118,4758.480573437429,1791.9919645710634,212.299684974661,3772.3142948454547,23206.866639273157,Mendocino County,California,CA,82.34146007396247,0.8046842898233119,4.758480573437429,1.7919919645710634,0.212299684974661,3.7723142948454553,23.20686663927316
5,261609.0,168794.0,9115.0,2024.0,19842.0,572.0,10313.0,147270.0,"Merced County, California",047,06,2.61609,64521.48053010409,3484.207347606543,773.6736885963404,7584.601447197918,218.64691199461794,3942.142663287578,56293.93484169123,Merced County,California,CA,64.52148053010409,3.4842073476065423,0.7736736885963403,7.584601447197918,0.21864691199461792,3.9421426632875782,56.293934841691225
6,9335.0,8396.0,108.0,236.0,52.0,0.0,412.0,1345.0,"Modoc County, California",049,06,0.09335,89941.08194965185,1156.936261381896,2528.119978575254,557.0433851098018,0.0,4413.497589716122,14408.141403320835,Modoc County,California,CA,89.94108194965185,1.156936261381896,2.5281199785752544,0.5570433851098018,0.0,4.413497589716122,14.408141403320835
7,14193.0,11993.0,63.0,380.0,116.0,132.0,239.0,3843.0,"Mono County, California",051,06,0.14193,84499.40111322483,443.8807863031072,2677.376171352075,817.3043049390544,930.0359332065102,1683.928697245121,27076.727964489535,Mono County,California,CA,84.49940111322482,0.4438807863031071,2.677376171352075,0.8173043049390545,0.9300359332065102,1.6839286972451208,27.07672796448954
8,424927.0,319839.0,11826.0,4161.0,26497.0,2183.0,15603.0,239901.0,"Monterey County, California",053,06,4.24927,75269.1638799135,2783.0662678530666,979.2270201705234,6235.659301480019,513.7353004163068,3671.9248247346013,56456.9914361761,Monterey County,California,CA,75.26916387991349,2.7830662678530667,0.9792270201705234,6.235659301480019,0.5137353004163068,3.6719248247346012,56.4569914361761
9,139253.0,107543.0,2992.0,696.0,10362.0,356.0,4950.0,45937.0,"Napa County, California",055,06,1.39253,77228.49777024552,2148.6072113347645,499.8096988933811,7441.132327490252,255.64978851443055,3554.681048164133,32988.15824434662,Napa County,California,CA,77.22849777024553,2.148607211334765,0.4998096988933811,7.441132327490251,0.25564978851443054,3.554681048164133,32.98815824434662
10,98606.0,91335.0,358.0,978.0,1476.0,165.0,2662.0,8751.0,"Nevada County, California",057,06,0.98606,92626.20935845688,363.06107133440156,991.826055209622,1496.8663164513314,167.33261667647,2699.6328823803824,8874.713506277509,Nevada County,California,CA,92.62620935845689,0.3630610713344016,0.9918260552096221,1.4968663164513316,0.16733261667646998,2.6996328823803823,8.874713506277509
11,3086331.0,1942675.0,50766.0,11852.0,573661.0,9472.0,110900.0,1050771.0,"Orange County, California",059,06,30.86331,62944.480031467785,1644.8656997580624,384.0158427595744,18587.150892111054,306.90162526313605,3593.263327880257,34045.959425609246,Orange County,California,CA,62.94448003146778,1.6448656997580622,0.3840158427595744,18.587150892111055,0.3069016252631361,3.593263327880256,34.04595942560924
12,361518.0,303509.0,4652.0,2372.0,23317.0,701.0,16214.0,47800.0,"Placer County, California",061,06,3.61518,83954.04931428033,1286.7962314462904,656.1222401097594,6449.748007014865,193.90459119601238,4484.977234881804,13222.02490609043,Placer County,California,CA,83.95404931428034,1.2867962314462904,0.6561222401097594,6.449748007014865,0.19390459119601236,4.4849772348818036,13.222024906090429
13,19286.0,17273.0,135.0,533.0,198.0,160.0,748.0,1594.0,"Plumas County, California",063,06,0.19286,89562.37685367624,699.9896297832624,2763.6627605516956,1026.6514570154516,829.6173390023852,3878.4610598361505,8265.062739811261,Plumas County,California,CA,89.56237685367624,0.6999896297832625,2.7636627605516955,1.0266514570154517,0.8296173390023852,3.8784610598361504,8.265062739811261
