,totalpop,poverty_White,poverty_Black,poverty_AmerInd,poverty_Asian,poverty_NatHaw,poverty_Multi,poverty_Hisp,Name,Country,state,factor,white_perh,black_perh,amerind_perh,asian_perh,nathaw_perh,multi_perh,hisp_perh,CountyName,StateName,State,white_rate,black_rate,amerind_rate,asian_rate,nathaw_rate,multi_rate,hisp_rate
0,9974203.0,852711.0,196990.0,12335.0,173556.0,3764.0,58196.0,1126170.0,"Los Angeles County, California",037,06,99.74203,8549.16427909077,1974.9948943289003,123.66902899409607,1740.0488038994192,37.73735104448947,583.4651650863733,11290.8269462733,Los Angeles County,California,CA,8.549164279090771,1.9749948943289002,0.12366902899409607,1.7400488038994193,0.03773735104448947,0.5834651650863734,11.2908269462733
1,152452.0,28174.0,1412.0,460.0,417.0,6.0,879.0,23490.0,"Madera County, California",039,06,1.52452,18480.570933802115,926.1931624380132,301.73431637499016,273.5287172355889,3.9356649961955235,576.5749219426442,15408.128460105474,Madera County,California,CA,18.480570933802117,0.9261931624380132,0.30173431637499015,0.2735287172355889,0.003935664996195524,0.5765749219426441,15.408128460105475
2,256802.0,13338.0,1471.0,205.0,1443.0,33.0,1191.0,8138.0,"Marin County, California",041,06,2.56802,5193.8847828287935,572.8148534668733,79.82803872243986,561.9115115925888,12.850367208978122,463.7814347240286,3168.978434747393,Marin County,California,CA,5.193884782828794,0.5728148534668733,0.07982803872243985,0.5619115115925889,0.012850367208978123,0.46378143472402866,3.168978434747393
3,17946.0,2394.0,34.0,191.0,23.0,0.0,49.0,556.0,"Mariposa County, California",043,06,0.17946,13340.02006018054,189.45726067090158,1064.304023180653,128.16226457149224,0.0,273.04134626100523,3098.1834392065084,Mariposa County,California,CA,13.34002006018054,0.1894572606709016,1.064304023180653,0.12816226457149227,0.0,0.27304134626100524,3.0981834392065086
4,87612.0,13023.0,199.0,1269.0,325.0,43.0,751.0,5829.0,"Mendocino County, California",045,06,0.87612,14864.402136693603,227.1378349997717,1448.4317216819613,370.9537506277679,49.080034698443136,857.1885129890883,6653.198192028489,Mendocino County,California,CA,14.864402136693602,0.22713783499977172,1.4484317216819615,0.37095375062776786,0.04908003469844313,0.8571885129890883,6.65319819202849
5,261609.0,39303.0,2714.0,630.0,4756.0,11.0,3027.0,43589.0,"Merced County, California",047,06,2.61609,15023.565703014805,1037.426082436002,240.81740307099528,1817.9802682629422,4.204748307588806,1157.0702842792107,16661.888543589863,Merced County,California,CA,15.023565703014805,1.0374260824360018,0.24081740307099528,1.817980268262942,0.004204748307588806,1.1570702842792107,16.66188854358986
6,9335.0,1547.0,46.0,110.0,7.0,0.0,143.0,454.0,"Modoc County, California",049,06,0.09335,16572.040707016604,492.76914836636314,1178.3610069630422,74.98660953401178,0.0,1531.869309051955,4863.417246920193,Modoc County,California,CA,16.572040707016605,0.49276914836636315,1.1783610069630424,0.07498660953401179,0.0,1.531869309051955,4.863417246920193
7,14193.0,347.0,27.0,85.0,0.0,0.0,5.0,296.0,"Mono County, California",051,06,0.14193,2444.8671880504476,190.23462270133163,598.8867751708589,0.0,0.0,35.228633833579934,2085.535122947932,Mono County,California,CA,2.444867188050447,0.19023462270133165,0.5988867751708589,0.0,0.0,0.03522863383357993,2.0855351229479324
8,424927.0,54340.0,1694.0,1506.0,2516.0,133.0,1722.0,53561.0,"Monterey County, California",053,06,4.24927,12788.078893551128,398.65671044673553,354.4138169615016,592.1017021747265,31.299493795404857,405.2460775615576,12604.753287035184,Monterey County,California,CA,12.788078893551127,0.39865671044673556,0.3544138169615016,0.5921017021747266,0.03129949379540486,0.4052460775615576,12.604753287035184
9,139253.0,10723.0,446.0,88.0,541.0,35.0,627.0,6633.0,"Napa County, California",055,06,1.39253,7700.372702922019,320.2803530265057,63.19432974514014,388.50150445591834,25.134108421362555,450.2595994341235,4763.272604539938,Napa County,California,CA,7.700372702922019,0.3202803530265057,0.06319432974514014,0.38850150445591836,0.025134108421362558,0.4502595994341235,4.763272604539938
10,98606.0,11121.0,76.0,92.0,153.0,7.0,323.0,1694.0,"Nevada County, California",057,06,0.98606,11278.218363994078,77.07441737825285,93.30061051051659,155.16297182727217,7.098959495365393,327.5662738575746,1717.9481978784252,Nevada County,California,CA,11.278218363994078,0.07707441737825285,0.09330061051051661,0.15516297182727218,0.007098959495365394,0.3275662738575746,1.7179481978784252
11,3086331.0,208177.0,7432.0,2214.0,69756.0,945.0,13860.0,211433.0,"Orange County, California",059,06,30.86331,6745.128762922707,240.80372455190323,71.73566283072036,2260.1593931435095,30.618880476526986,449.07691365572913,6850.62619660691,Orange County,California,CA,6.7451287629227075,0.24080372455190321,0.07173566283072036,2.260159393143509,0.030618880476526982,0.4490769136557291,6.8506261966069095
12,361518.0,24821.0,1141.0,284.0,1259.0,62.0,2291.0,7860.0,"Placer County, California",061,06,3.61518,6865.771552177208,315.6136070679745,78.55763751735736,348.25375223363704,17.149906781958297,633.71671673333,2174.165601712778,Placer County,California,CA,6.865771552177208,0.3156136070679745,0.07855763751735736,0.3482537522336371,0.0171499067819583,0.6337167167333301,2.1741656017127777
13,19286.0,2564.0,43.0,238.0,47.0,0.0,57.0,272.0,"Plumas County, California",063,06,0.19286,13294.617857513222,222.959659856891,1234.0557917660478,243.70009333195063,0.0,295.5511770195997,1410.3494763040546,Plumas County,California,CA,13.294617857513222,0.222959659856891,1.234055791766048,0.2437000933319506,0.0,0.2955511770195997,1.4103494763040547
